sentence,np,vp,pp,score
"geoxduv dab kuftas kuftas this- kishfav -the EndOfText
",[],['VW'],[],0.1875
"geogh sole- daskazh this- buttugh -uyu pouz piaux many- tashfigh these- peopfoux dab many- koufzheof these- tatxuzh -the kiaupsiaus dab many- toupshus these- guxfis -the EndOfText
","['DEFD PLPREFA AW PLPREFN NW DEFSUFFIX', 'INDEFD PLPREFA AW PLPREFN NW', 'INDEFD SGPREFA AW SGPREFN NW']",['DEFD PLPREFA AW PLPREFN NW DEFSUFFIX VW'],['INDEFD SGPREFA AW SGPREFN NW ACCSUFF PWACC'],0.19230769230769232
"bouz sole- tapgiauf this- diaufsheos -the tatzhouzh geogh sole- tukzugh this- koukvux bouz sole- touptouzh this- toupvouz -the -u dip buffuz piaux sole- diauxgheosh this- doupdash geot EndOfText
","['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX', 'INDEFD SGPREFA AW SGPREFN NW']","['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX DATSUFF PWDAT VW', 'DEFD SGPREFA AW SGPREFN NW DEFSUFFIX VW']",['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX DATSUFF PWDAT'],0.19642857142857142
"pazh sole- gipsax this- toupghouz tapfugh dab sole- puxvouf this- dab -the kiaug sole- teofbuf this- geofvas -the goushghas piaux sole- boushtuf this- gufgeogh EndOfText
",[],[],[],1.0
"geogh sole- keokzeoz this- douxgish -u kux gud sole- pisbazh this- tiautkuv gas dab many- tapgiauf these- dakxigh -the piaux many- gishtouv these- toupvouz -u bish bixzhoush geogh many- dikdis these- kiaukgas bizh EndOfText
","['DEFD PLPREFA AW PLPREFN NW DEFSUFFIX', 'INDEFD PLPREFA AW PLPREFN NW', 'INDEFD SGPREFA AW SGPREFN NW']",['INDEFD PLPREFA AW PLPREFN NW DATSUFF PWDAT VW'],"['INDEFD PLPREFA AW PLPREFN NW DATSUFF PWDAT', 'INDEFD SGPREFA AW SGPREFN NW DATSUFF PWDAT']",0.16176470588235295
"geogh sole- geokkash this- deokpiv -u keof gissaz piaux many- toupgeosh these- diaufkiaus pazh many- kuftas these- bakzash kiaupsiaus pazh sole- geokkash this- tiautfiaus geox EndOfText
","['INDEFD PLPREFA AW PLPREFN NW', 'INDEFD SGPREFA AW SGPREFN NW']","['INDEFD SGPREFA AW SGPREFN NW DATSUFF PWDAT VW', 'INDEFD PLPREFA AW PLPREFN NW VW']",['INDEFD SGPREFA AW SGPREFN NW DATSUFF PWDAT'],0.21153846153846154
"geogh many- kifgheozh these- biaupduf -u kux piaug sole- gipsax this- piaupgeos -the dab sole- dipsuz this- bapvax -the keofpeozh pis many- giauptav these- goufxizh -the tiaushtous sole- bouz this- taxdagh -the gud sole- tattough this- diaufkiaus -u teof gud sole- geosziz this- dakxigh piaufsizh pazh many- koukdazh these- gishkiaugh geox EndOfText
",[],[],[],1.0
"pis sole- dipsuz this- geofshush -the -u bish pazh sole- beofpough this- katviaux duk pazh sole- biaufpuf this- douxzouzh pazh sole- kifvagh this- katviaux piaug sole- boushfoux this- piaupgeos -the dafsous geogh sole- diautpux this- bafvugh dazh EndOfText
","['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX', 'INDEFD SGPREFA AW SGPREFN NW']",['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX VW'],['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX DATSUFF PWDAT'],0.10526315789473684
"gasbagh geogh sole- koufzheof this- kukgish EndOfText
",['INDEFD SGPREFA AW SGPREFN NW'],['VW'],[],0.35714285714285715
"piaug many- tashfigh these- piauppoush -the bukgheos pazh sole- dishkeof this- kishfav bouz sole- dishkeof this- keoxdus -the -u teof gas sole- tukfazh this- kiautpeozh diautghiauv gas sole- bouppiaush this- beossiz pap EndOfText
",[],[],[],1.0
"dab sole- diauszav this- peoxsouz -the koushtuv pazh sole- tukzugh this- kukgish EndOfText
","['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX', 'INDEFD SGPREFA AW SGPREFN NW']",['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX VW'],[],0.2692307692307692
"pazh many- dikdis these- bikxaf -uyu kagh buffuz pis sole- diauxshash this- beosshoux -the gas sole- beofghuz this- tutghoux kouppouf bouz sole- geokkash this- dixxif -the deoz EndOfText
",[],[],[],1.0
"sole- bouxpas this- kashpax -the pis sole- boutvoush this- geofvas -the koutxiauzh gas sole- beosvax this- peofdiaush geogh many- pazh these- tukfax tiaufziaus pazh sole- biautziz this- buttugh geot EndOfText
",[],[],[],1.0
"EndOfText
",[],[],[],0.0
"piaug sole- geofbish this- teofzax -the -uyu kagh gas sole- koukdugh this- bapvax peotdaf pazh many- puxvouf these- kashpax EndOfText
","['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX', 'INDEFD PLPREFA AW PLPREFN NW', 'INDEFD SGPREFA AW SGPREFN NW']",['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX ACCSUFF PWACC INDEFD SGPREFA AW SGPREFN NW VW'],['DEFD SGPREFA AW SGPREFN NW DEFSUFFIX ACCSUFF PWACC'],0.25
"gud many- bouppiaush these- katviaux tiaushtous piaux many- tukzugh these- koukvux EndOfText
",[],[],[],1.0
"tiaushtous gas many- teoshvouf these- doushviaugh piaug many- dukzhazh these- tuktif -the -uyu dak tiaushtous piaux many- diauxgheosh these- kashpax kiaug many- kikvouzh these- deofzash -the -uyu pouz buffuz piaux many- piautduv these- kushfush geox EndOfText
",[],[],[],1.0
"pazh many- deopghus these- keoxdus gas sole- datpeozh this- tuktif -u bish tafsheos geogh many- tatfeov these- diaufkiaus pazh sole- giauptav this- gakzhiaus -u teof ditveov piaux sole- deopxis this- poufghus deoz EndOfText
","['INDEFD PLPREFA AW PLPREFN NW', 'INDEFD SGPREFA AW SGPREFN NW']",['INDEFD SGPREFA AW SGPREFN NW DATSUFF PWDAT VW'],['INDEFD SGPREFA AW SGPREFN NW DATSUFF PWDAT'],0.12121212121212122
